Date,Name of Species,Small (in Rs.),Medium (in Rs.),Large (in Rs.)
7/1/2022,Kiddi shrimp,408.3,0,0
7/1/2022,Little tuna,565.46,0,0
7/1/2022,Long tail tuna,492.27,0,0
7/1/2022,Malabar anchovy,385.19,0,0
7/1/2022,Malabar blood snapper,549.76,0,0
7/1/2022,Malabar grouper,553.73,0,0
7/1/2022,Narrow-barred spanish mackerel,951.1,0,0
7/1/2022,Pearl Spot,373.32,0,0
7/1/2022,Silver pomfret,683.95,0,0
7/1/2022,Small head hairtail,309.69,0,0
7/1/2022,Spineless cuttle fish,529.67,0,0
7/1/2022,Spiny cheek grouper,619.96,0,0
7/1/2022,Spotted crab,552.09,0,0
7/1/2022,Spotted eagle ray,582.39,0,0
8/1/2022,Asian Seabass,799.79,0,0
8/1/2022,Big eye trevally,674.79,0,0
8/1/2022,Black barred half beak,683.06,0,0
8/1/2022,Black pomfret,850.55,0,0
8/1/2022,Blue Swimming Crab,699.97,0,0
8/1/2022,Bombay duck,376.83,0,0
8/1/2022,Flower tail prawn,697.3,0,0
8/1/2022,Four finger thread fin,667.78,0,0
8/1/2022,Frigate tuna,474.58,0,0
8/1/2022,Giant catfish,696.73,0,0
8/1/2022,Giant tiger prawn,590.3,0,0
8/1/2022,Gold spot mullet,637.84,0,0
8/1/2022,Gold spotted granadier anchovy,299.92,0,0
8/1/2022,Greasy grouper,658.12,0,0
8/1/2022,Green mud crab,809.88,0,0
8/1/2022,Grey mullet,612.31,0,0
8/1/2022,Hound needle fish,600.07,0,0
8/1/2022,Indian mackerel,545.79,0,0
8/1/2022,Indian squid,620.02,0,0
8/1/2022,Indian white prawn,613.23,0,0
8/1/2022,Indo-pacific seer fish,1167.88,0,0
8/1/2022,Japanese threadfin bream,527.71,0,0
8/1/2022,Jinga prawn,573.58,0,0
8/1/2022,John\'s snapper,684.17,0,0
8/1/2022,Kiddi shrimp,495.94,0,0
8/1/2022,Little tuna,621.79,0,0
8/1/2022,Long tail tuna,584.56,0,0
8/1/2022,Malabar anchovy,456.42,0,0
8/1/2022,Malabar blood snapper,588,0,0
8/1/2022,Malabar grouper,616.04,0,0
8/1/2022,Narrow-barred spanish mackerel,1203.17,0,0
8/1/2022,Pearl Spot,445.02,0,0
8/1/2022,Silver pomfret,737.56,0,0
8/1/2022,Small head hairtail,344.06,0,0
8/1/2022,Spineless cuttle fish,632.32,0,0
8/1/2022,Spiny cheek grouper,726.98,0,0
8/1/2022,Spotted crab,592.8,0,0
8/1/2022,Spotted eagle ray,721.17,0,0
9/1/2022,Asian Seabass,864.86,0,0
9/1/2022,Big eye trevally,686.61,0,0
9/1/2022,Black barred half beak,724.35,0,0
9/1/2022,Black pomfret,865.37,0,0
9/1/2022,Blue Swimming Crab,807.18,0,0
9/1/2022,Bombay duck,409.86,0,0
9/1/2022,Flower tail prawn,737.44,0,0
9/1/2022,Four finger thread fin,689.76,0,0
9/1/2022,Frigate tuna,491.09,0,0
9/1/2022,Giant catfish,680.39,0,0
9/1/2022,Giant tiger prawn,592.55,0,0
9/1/2022,Gold spot mullet,619.21,0,0
9/1/2022,Gold spotted granadier anchovy,328.49,0,0
9/1/2022,Greasy grouper,697.26,0,0
9/1/2022,Green mud crab,799.56,0,0
9/1/2022,Grey mullet,590.81,0,0
9/1/2022,Hound needle fish,606.31,0,0
9/1/2022,Indian mackerel,580.78,0,0
9/1/2022,Indian squid,629.45,0,0
9/1/2022,Indian white prawn,615.54,0,0
9/1/2022,Indo-pacific seer fish,1191.47,0,0
9/1/2022,Japanese threadfin bream,541.06,0,0
9/1/2022,Jinga prawn,563.67,0,0
9/1/2022,John\'s snapper,754.51,0,0
9/1/2022,Kiddi shrimp,514.2,0,0
9/1/2022,Little tuna,664.64,0,0
9/1/2022,Long tail tuna,627.32,0,0
9/1/2022,Malabar anchovy,465.36,0,0
9/1/2022,Malabar blood snapper,633.33,0,0
9/1/2022,Malabar grouper,655.62,0,0
9/1/2022,Narrow-barred spanish mackerel,1169.68,0,0
9/1/2022,Pearl Spot,445.61,0,0
9/1/2022,Silver pomfret,804.17,0,0
9/1/2022,Small head hairtail,357.45,0,0
9/1/2022,Spineless cuttle fish,677.66,0,0
9/1/2022,Spiny cheek grouper,782.02,0,0
9/1/2022,Spotted crab,652.39,0,0
9/1/2022,Spotted eagle ray,722.77,0,0
10/1/2022,Asian Seabass,751.9,0,0
10/1/2022,Big eye trevally,607.65,0,0
10/1/2022,Black barred half beak,618.31,0,0
10/1/2022,Black pomfret,697.59,0,0
10/1/2022,Blue Swimming Crab,647.38,0,0
10/1/2022,Bombay duck,351.22,0,0
